team_home,team_away,goals_home,goals_away,season,league_division
JJ Vepo,FC POHU/Kova Kamppi,1,5,2023,7
Kullervo,Valtti/4,3,0,2023,7
Cosmos,LPS/7,0,3,2023,7
Kilo IF/2,KOPSE/CRPS FC,1,2,2023,7
OT-77,Cosmos,1,1,2023,7
HeKuLa,MoPo,0,1,2023,7
Ponnistus/TK,Kullervo,1,0,2023,7
FC Pakila,PK-35/Äijät,4,2,2023,7
Kullervo/Überkleber,Kilo IF/2,1,6,2023,7
KOPSE/CRPS FC,Käpylän Sekunda,2,3,2023,7
LPS/7,JJ Vepo,2,0,2023,7
FC POHU/Kova Kamppi,FC Puimur,2,2,2023,7
AC StaSi/Europort,FC Lähiö,0,3,2023,7
FC POHU/Kova Kamppi,Cosmos,2,4,2023,7
AC StaSi/Europort,Ponnistus/TK,1,2,2023,7
PK-35/Äijät,HeKuLa,3,1,2023,7
FC Puimur,Kullervo,2,1,2023,7
Ponnistus/TK,Käpylän Sekunda,4,0,2023,7
Kilo IF/2,Ponnistus/TK,0,3,2023,7
JJ Vepo,HeKuLa,3,2,2023,7
FC Pakila,Cosmos,2,3,2023,7
Valtti/4,MoPo,0,0,2023,7
Kullervo/Überkleber,OT-77,1,4,2023,7
FC POHU/Swigu,Kilo IF/2,3,2,2023,7
PK-35/Äijät,KOPSE/CRPS FC,1,4,2023,7
Cosmos,FC Lähiö,1,2,2023,7
OT-77,FC POHU/Swigu,2,2,2023,7
HeKuLa,LPS/7,0,2,2023,7
KOPSE/CRPS FC,Valtti/4,5,1,2023,7
FC POHU/Kova Kamppi,FC Pakila,3,4,2023,7
MoPo,JJ Vepo,2,3,2023,7
Käpylän Sekunda,AC StaSi/Europort,1,3,2023,7
LPS/7,MoPo,2,0,2023,7
FC Pakila,Kullervo,1,2,2023,7
Valtti/4,PK-35/Äijät,2,0,2023,7
FC Lähiö,FC POHU/Kova Kamppi,0,2,2023,7
JJ Vepo,KOPSE/CRPS FC,7,1,2023,7
FC POHU/Swigu,Kullervo/Überkleber,4,0,2023,7
AC StaSi/Europort,Kilo IF/2,2,8,2023,7
Ponnistus/TK,OT-77,2,2,2023,7
PK-35/Äijät,JJ Vepo,1,6,2023,7
OT-77,AC StaSi/Europort,2,0,2023,7
Kilo IF/2,Käpylän Sekunda,7,0,2023,7
KOPSE/CRPS FC,LPS/7,0,2,2023,7
Kullervo,FC Lähiö,2,2,2023,7
Kullervo/Überkleber,Ponnistus/TK,0,0,2023,7
MoPo,HeKuLa,3,1,2023,7
FC Puimur,FC Pakila,2,1,2023,7
LPS/7,PK-35/Äijät,3,0,2023,7
HeKuLa,KOPSE/CRPS FC,2,1,2023,7
Ponnistus/TK,FC POHU/Swigu,2,2,2023,7
Cosmos,Kullervo,0,1,2023,7
FC Lähiö,FC Puimur,1,2,2023,7
Käpylän Sekunda,OT-77,4,2,2023,7
JJ Vepo,Valtti/4,6,3,2023,7
AC StaSi/Europort,Kullervo/Überkleber,3,1,2023,7
FC Puimur,Cosmos,1,2,2023,7
Kullervo/Überkleber,Käpylän Sekunda,4,1,2023,7
